CLASS;sub-class 1;sub-class 2;sub-class 3;sub-class 4;sub-class 5;Synonym;Modification proposée;NB DE RELATIONS POSITIVE (Facteurs de risque);NB DE RELATIONS NEGATIVES (Facteurs protecteurs);NB DE RELATIONS NS;Relations Flous;DOI Distincts;Définition;Outils;Autres outils utilisés pour ces variables
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Body image;;;;;;;;;"""A multidimensional construct that includes how one sees, thinks, feels, and behaves related to their body’s appearance and function"" (Cash & Smolak, 2011)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Body self;;;;;;;;;"""Refers to an individual’s self-perceptions, attitudes, and evaluations regarding their own body. It encompasses cognitive, affective, and behavioral components, including satisfaction or dissatisfaction with appearance, attention to body-related cues, and the influence of these perceptions on self-esteem and daily functioning"" (Cash, 1994).";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Appearance evaluation;;;;;;;;;"""Refers to the positive-to-negative appraisals of and beliefs about one's appearance, such as satisfaction or dissatisfaction with appearance"" (Cash, 2012)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Perception of one's own body and self;;;;;;;;;Defined as a combined evaluation of body-related perceptions (e.g., proportionality, weight control, dissatisfaction) and self-related judgments (e.g., importance of appearance for success, self-dissatisfaction), reflecting a more critical and demanding view of oneself as scores increase (Leonkiewicz et al., 2022).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Self consciousness of weight and appearance;;;;;;;;;"""Related to pressures that female athletes might be aware of and concerned about their weight and appearance (e.g., my team uniform makes me conscious of my bodily appearance)""(Reel et al., 2010)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Self-objectivation;;;;;;;;;"""Self-objectification is described as a form of self-
consciousness, characterized by habitual and constant monitoring of the body’s outward appearance (self-surveillance)"" (Hallsworth et al., 2005)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Body self-perception;Self-surveillance;;;;;;;;;"""Self-surveillance is defined as an internalized process where individuals monitor and regulate their own behavior and identity, influenced by external mechanisms of visibility and social norms, particularly within the context of social networks"" (International Encyclopedia of the Social & Behavioral Sciences, 2015)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;;;;;;;;;;Defined as the perceptual evaluation of one’s body dimensions, including estimations of body size, shape, and weight, reflecting the perceptual dimension of body image and self-esteem (Cash, 2004).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Weight and shape concern;;;;;;;;;"""Refers the degree to which sense of self-worth is influenced by body weight and/or shape, is a specific facet of body image concern"" (Goldstein et al., 2023)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Size/symmetry concerns;;;;;;;;;"""Assesses satisfaction with muscle size, shape, and definition"" (Thomas et al., 2014)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Concern with thinness;;;;;;;;;Refers to a high level of preoccupation and anxiety about remaining thin or avoiding weight gain (McKnight, 2003);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Muscularity concern;;;;;;;;;"""Reflect degree of preoccupation with muscularity and desires to become more muscular"" (De Sousa Fortes et al., 2015)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Overweight preoccupation;;;;;;;;;"""Assessing a construct reflecting fat anxiety, weight vigilance, dieting and eating restraint"" (Cash, 2000)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Weight concern;;;;;;;;;"""Evaluates the feelings of dissatisfaction with the
current weight and the need to maintain or achieve a certain
body weight"" (Silva et al., 2011)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Shape concern;;;;;;;;;"""Measures the feelings of dissatisfaction with own body shape, body exposure in public situations and emphasis on physical fitness"" (Silva et al., 2011)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Body concern;;;;;;;;;"Refers to preoccupation and dissatisfaction with the body’s appearance including its shape and weight as well as other characteristics"" (Rodgers et al., 2023)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Body image concerns;;;;;;;;;"""Refers to preoccupation and dissatisfaction with the body’s appearance including its shape and weight as well as other characteristics"" (Rodgers et al., 2023)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Perceptual dimension of body image and self-esteem;Judgement of size, shape and weight;Body shape concerns;;;;;;;;;"Preoccupation with one’s shape and to the central role of shape and its control in determining oneself (Fairburn, 2008; Fairburn et al., 2003)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;;;;;;;;;;;"""General feelings of happinness, satisfaction and pride in the physical self"" (Monthuy-Blanc et al., 2012)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Physical condition;;;;;;;;;;"""Represents perceptions of one’s level of physical condition, fitness and stamina; one’s ability to maintain exercise; and one’s confidence in the exercise
and fitness setting (Fortes et al., 2004)""";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Physical condition;Perceived physical ability;;Physical competence evaluation;;;;;;;Defined as the individual’s self-confidence in their capacity to perform physical tasks or activities successfully, reflecting a subjective evaluation of one’s physical competence (Oxford Dictionary of Sports Science and Medicine).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Physical condition;Physical fatigue;;;;;;;;;"Defined as a debilitating state of physical exhaustion or persistent lack of energy not relieved by rest, characterized by muscle fatigability and a reduced capacity to initiate or sustain physical activity (Elsais et al., 2013; Norton et al., 2015).";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Physical condition;Physical competence orientation;;;;;;;;;"efers to:

Refers to the extent to which individuals value being physically capable, strong, coordinated, and skilled, and the degree to which they invest effort in developing and maintaining their physical abilities (Cash et al., 1990)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Physical strength;;;;;;;;;;Defined as the perceived level of muscular strength and development, reflecting an individual’s subjective evaluation of their capacity to generate force (Monthuy-Blanc et al., 2012).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;;;;;;;;;;Defined as the perceived ability to perform effectively in sports and to acquire and develop sport-related skills, reflecting an individual’s self-evaluation of their athletic capacity (Monthuy-Blanc et al., 2012).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Athlete satisfaction;;;;;;;;;Defined as a multidimensional evaluation of athletes’ experiences, encompassing satisfaction with individual and team performance, perceived performance improvement, coaching quality (e.g., treatment, technical approach, decision-making), and the broader social environment within the team (Wilson et al., 2025).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Athletic self appraisal;;;;;;;;;Defined as an individual’s subjective evaluation of their own athletic performance and achievements, reflecting personal judgments of competence and success in sport (Williamson et al., 1995).;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Satisfaction with current athletic performance;;;;;;;;;Refers to satisfaction with current performance in a competitive sporting context (Bardel et al., 2008);;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Perceived competence;;;;;;;;;"""Refers to a belief that one is capable in an activity, for exemple one's judgement of their ability in gymnastics"" (Kipp et al., 2015)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Perceived athletic competence;;;;;;;;;"""Defined as the confidence to perform sports and outdoor activities"" (Harter, 1982)";;
Intrapersonal factor related to DEAB;Body image and self-esteem;Physical Self-Worth;Sport competence;Global sport-state self-esteem;;;;;;;;;"""Captures an individual's need to be appreciated and approved by others, to feel competent and in control, and to exert influence over other people"". Is assesses athlete's state self esteem level in the context of competitive sport (Bardel et al., 2010)";;
Intrapersonal factor related to DEAB;Emotions;;;;;;;;;;;;"""A complex reaction pattern, involving experiential, behavioral and physiological elements"" (American Psychological Association, dictionary)";Profile of Mood States-Adolescents (POMS-A);
Intrapersonal factor related to DEAB;Emotions;Alexithymia;;;;;;;;;;;"""The inability to recognize or describe one's own emotions"" (Oxford dictionnaire)";;
Intrapersonal factor related to DEAB;Emotions;Alexithymia;Difficulty describing feelings;;;;;1;;3;;1;"""Assessing the ability to describe feelings to other people"" (Heshmati et al., 2011)";Toronto Alexithymia Scale Difficulty Describing Feelings subscale (TAS-DDF);
Intrapersonal factor related to DEAB;Emotions;Alexithymia;Difficulty identifying feelings;;;;;3;;1;;1;"""Assessing the ability to identify feelings and to distinguish them from the somatic sensations that accompany emotional arousal ""(Heshmati et al., 2011)";Toronto Alexithymia Scale Difficulty Identifying Feelings subscale (TAS-DIF);
Intrapersonal factor related to DEAB;Emotions;Coping;;;;;;;;;;;"""the use of cognitive and behavioral strategies to manage the demands of a situation when these are appraised as taxing or exceeding one’s resources or to reduce the negative emotions and conflict caused by stress."" (APA)";;
Intrapersonal factor related to DEAB;Emotions;Coping;Coping in sport;Athletic coping skills;;;;;;;;;Refers to mental skills in sports (Bourgeois et al., 2003);;
Intrapersonal factor related to DEAB;Emotions;Coping;Coping in sport;Athletic coping strategies;;;;;;;;;"""Evaluates coping strategies in the sports field""(De Sousa et al., 2020)";;
Intrapersonal factor related to DEAB;Emotions;Coping;Emotion-focused coping;Coping with adversity;;;;;;;;;"""Remains positive and enthusiastic even when things are going badly; remains calm and controlled; can bounce back quickly from mistakes and setbacks"" (Bourgeois et al., 2003)";;
Intrapersonal factor related to DEAB;Emotions;Coping;Emotion-focused coping;Freedom from worry;;;;;;;;;Defined as the absence of performance-related concerns, characterized by not placing pressure on oneself through fear of mistakes or poor performance, and not being preoccupied with others’ evaluations (Bourgeois et al., 2003).;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;;;;;;15;;;;4;"""Emotion regulation is conceptualized as involving: (a) awareness and understanding of emotions, (b) acceptance of emotions, (c) ability to engage in goal-directed behaviour and control impulsive behaviours when experiencing negative emotions, and (d) access to effective emotion regulation strategies"" (Gratz & Roemer, 2004).";Difficulties in Emotion Regulation Scale (DERS);
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Effective emotion regulation;;;;;;;;;;Defined as the ability to monitor, manage, and modulate one’s emotional responses in a flexible and adaptive manner to meet situational demands and support goal-directed behavior (Gross, 2015).;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Effective emotion regulation;Recognition of emotion in others;;;;;;;;;"""Measure the recognition of emotions in others, a key component in emotion regulation"" (Beneau et al., 2020)";;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Effective emotion regulation;Cognitive reappraisal;;;;;;;;;"Refers to the ""cognitive appraisal in terms of athletes’ threat perception about competition (e.g., failing or making
mistakes at crucial moments in competition)"" (Silva et al., 2011)";;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;;;;;;;;;;Defined as difficulties in monitoring, managing, and modulating emotional responses, leading to maladaptive reactions that interfere with functioning and goal-directed behavior (Gross, 2015).;;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Difficulties engaging in goal-directed behavior;;;;;;;;;"""Difficulties concentrating and accomplishing tasks when experiencing negative emotions"" (Gratz et Roemer, 2004)";;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Expressive suppression;;Emotional suppression;;;;;;;"""Measures the individual’s ability to attempt to hide or reduce the emotions they are feeling"" (D'Urso et al., 2023)";;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Impulse control difficulties;;;;;;;;;"""Difficulties remaining in control of one’s behavior when experiencing negative emotions"" (Gratz et Roemer, 2004)";;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Lack of emotional awareness;;;;;;;;;"""Reflecting the tendency to attend to and acknowledge emotions"" (Gratz et Roemer, 2004)";;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Lack of emotional clarity;;;;;;;;;"""Extent to which individuals know (and are clear about) the emotions they are experiencing"" (Gratz et Roemer, 2004)";;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Limited access to emotional regulation strategies;;;;;;;;;"""Belief that there is little that can be done to regulate emotions effectively, once an individual is upset"" (Gratz et Roemer, 2004)";;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Ineffective emotion regulation;Non-acceptance of emotional responses;;;;;;;;;"""Reflects a tendency to have negative secondary emotional responses to one’s negative emotions, or non-accepting reactions to one’s distress"" (Gratz et Roemer, 2004)";;
Intrapersonal factor related to DEAB;Emotions;Emotion regulation;Overfocus and emotional change;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Emotions;Emotional states;;;;;;;;;;;"""Refers to the feelings and moods experienced by an individual, such as depression, anxiety, or stress, which can be influenced by negative events, personal characteristics, or the environment"" (International Encyclopedia of the Social & Behavioral Sciences, 2001)";;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Adaptive emotional state;;;;;;;;;;"Defined as a pattern of emotional experiences that are appropriately regulated, context-sensitive, and supportive of effective functioning and goal attainment (Gross, 2015; Lazarus, 2000).";;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Adaptive emotional state;Positive affect;;;;;;;;;"""Reflects the extent to which a person feels enthusiastic, active, and alert"" (Watson et al., 1988)";;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;;;;;;;;;;"Defined as a pattern of emotional experiences that are poorly regulated, contextually inappropriate, or excessive, and that interfere with effective functioning and goal-directed behavior (Gross, 2015; Lazarus, 2000).";;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Emotion dysregulation;;;;;;;;;"""Refers to broader difficulties experienced when identifying one’s emotions and implementing adaptive regulatory strategies"" (Mazaraki et al., 2024)";;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Emotional reaction;;;;;;;;;Refers to emotional reaction to criticism (Ausmus et al., 2021);;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Emotional reaction to critical comments about physical appearance;;;;;;;;;"""Refers to emotional reaction to criticism about physical appearance and severity of the critical comments about physical appearance"" (Ausmus et al., 2021)";;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Guilt/shame;;;;;;;;;Refers to combined to form a composite shame/guilt measure (Petrie et al., 2009);;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Guilt/shame;Guilt;;;;;;;;"""A feeling of worry or unhappiness that you have because you have done something wrong"" (Cambridge dictionary)";;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Guilt/shame;Guilt if skipping training;;;;;;;;Refers to the extent to which individuals experience feelings of guilt when they miss a planned training session (Kiss-Leizer et al., 2019);;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Hostility;;;;;;;;;"""Refers when someone is unfriendly or shows that they do not like something"" (Cambridge Dictionary)";;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Mood;;;;;;;;;"""A disposition to respond emotionally in a particular way that may last for hours, days, or even weeks, perhaps at a low level and without the person knowing what prompted the state""(American Psychological Association)";;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Mood;Mood modification;;;;;;;;"""Monitor health in a negative affective state"" (Kiss-Leizer et al., 2019)";;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Psychological fatigue;;;;;;;;;Refers to the subjective feeling of mental or emotional exhaustion experienced during training sessions (ChecaOlmos et al., 2023);;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Sad;;;;;;;;;Refers to the emotional state marked by feelings of sorrow, unhappiness, or low mood (Watson et al., 1988);;
Intrapersonal factor related to DEAB;Emotions;Emotional states;Maladaptive emotional state;Somatization;;;;;;;;;"""Reflects distress arising from perceptions of bodily dysfunction"" (Derogatis et al., 1974)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;;;;;;;;;;;"""Emotion characterized by the detection of imminent threat or the apprehension and somatic symptoms of tension in which an individual reacts to or anticipates impending danger, catastrophe, or misfortune and generates a set of physiological changes"" (APA, fusion fear and anxiety)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Appearance-related anxiety;;;;;;;;;;"Appearance-related anxiety is the experience of worry or distress about one’s body or physical appearance, including concerns about social evaluation (appearance anxiety) and anxiety in situations where one’s physique is observed by others (social physique anxiety). (Hallsworth et al., 2005; Ebbeck et al., 2009).";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Appearance-related anxiety;Appearance anxiety;;;;;;;;;"""Refers to the apprehension that people feel about aspects of their physical appearance and how others will evaluate them"" (Hallsworth et al., 2005)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Appearance-related anxiety;Social physique anxiety;;;;;;;;;"""Represents the degree to which people become anxious when others observe or evaluate their physiques"" (Ebbeck et al., 2009)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Interpersonal anxiety;;;;;;;;;;"Refers ""to the fear of negative consequences from interacting with someone"" (Gloor et al., 2022)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Interpersonal anxiety;Attachment anxiety;;;;;;;;;"""Defined as “involving a fear of interpersonal rejection or abandonment, an excessive need for approval from others, and distress when one's partner is unavailable or unresponsive"" (Machado et al., 2020)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Interpersonal anxiety;Social phobia;;;;;;;;;"""Refers to a fear of negative evaluations from others"" (Beneau et al., 2020)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;General anxiety;;;;;;;;;;"It is the experience of apprehension, nervousness, or distress, including both temporary emotional states (anxiety state) and stable personality predispositions (anxiety trait). (Spielberger, 1979; Jouvent et al., 1999).";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;General anxiety;Anxiety state;;;;;;;;;"""Defined as a transitory emotional state consisting of feelings of apprehension, nervousness, and physiological sequelae such as an increased heart rate or respiration"" (Spielberger 1979)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;General anxiety;Anxiety trait;;;;;;;;;"""Defined as a personality trait referring to individual differences in the likelihood that a person would experience state anxiety in a stressful situation"" (Jouvent et al., 1999)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Specific anxiety;;;;;;;;;;"It is anxiety focused on particular situations, stimuli, or concerns, including health-related worries and intense fears of specific objects or situations (phobic). (APA; Derogatis, 2000).";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Specific anxiety;Health anxiety;;;;;;;;;"""Excessive or inappropriate anxiety about one’s health, based on misinterpretation of symptoms (e.g., pain, gastrointestinal distress) as indicative of serious illness"" (American Psychological Association)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Specific anxiety;Phobic anxiety;;;;;;;;;"""Intense fear or avoidance of specific situations or stimuli"" (Derogatis, 2000)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Sport-related anxiety;;;;;;;;;;Refers to a state- or trait-based response to sport-related situations perceived as stressful, involving cognitive, behavioral, and physiological reactions. It includes various manifestations of anxiety experienced in sport contexts, such as competitive, performance-related, cognitive, somatic, and competition-related anxiety. (Ford et al., 2017);;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Sport-related anxiety;Competitive state anxiety;;;;;;;;;"""Conceptualized as a situation-specific multidimensional construct comprising cognitive and somatic components"" (Martinent et al., 2010)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Sport-related anxiety;Performance anxiety;;;;;;;;;"""Characterized by intense feelings of emotional distress before, during, or after performing in front of others"" (Beenen et al., 2025)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Sport-related anxiety;Performance Cognitive Anxiety;;;;;;;;;"Refers to ""lasting worrying, ruminating and dwelling over something, and it causes the deterioration of concentration, which affects performance and may lead to the likelihood of making mistakes"" (Trpkovici et al., 2023)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Sport-related anxiety;Threat perception;;;;;;;;;Refers to the athlete’s primary cognitive appraisal of competition as potentially harmful or stressful, particularly in relation to fears of failure or making mistakes during crucial moments. It reflects the athlete’s evaluation of what is at stake and the potential negative consequences of underperformance (Cruz, 1996);;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Fear;;;;;;;;;;"""An unpleasant emotion or thought that you have when you are frightened or worried by something dangerous, painful, or bad that is happening or might happen"" (Cambridge dictionary)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Fear;Afraid of becoming fat;;;;;;;;;Refers to the individual’s fear or anxiety related to gaining weight or increasing body fat (Petrie et al., 2009);;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Stress;;;Perceived stress;;;;;;;"""Physiological or psychological response to internal or external stressors"" (American Psychological Association, dictionary)";;
Intrapersonal factor related to DEAB;Emotions;Anxiety;Stress;Psychological stress;;;;;;;;;"""Defined as a continuous personal psychological experience, a state of psychological tension. It is related to both positive and negative events and circumstances that could be construed as a challenge or demand"" (Lemyre et al., 2009)";;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;;;;;;;;;;;Refers to the individual's capacity to control his or her own eating behavior in sport context (Scoffier-Mériaux et al., 2010);;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;Self-regulation in context of compensatory strategies;;;;;;;;;;Refers to the individual's capacity to control his or her own eating behavior in context of compensatory strategies (Scoffier-Mériaux et al., 2010);;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;Self-regulation in context of food temptation;;;"Inability to control food cravings; Types of food";;;;;;;Refers to the individual's capacity to control his or her own eating behavior in context of food temptation: (i.e., Do you feel capable of controlling what you eat when your favorite food is set before you?) (Scoffier-Mériaux et al., 2010);;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;Self-regulation in context of lack of anticipation of consequences on performance;;;;;;;;;;Refers to the individual's capacity to control his or her own eating behavior in context of lack of anticipation of consequences on performance (Scoffier-Mériaux et al., 2010);;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;Self-regulation in context of negative affect;;;Guilt/shame;;;;;;;"Refers to the individual's capacity to control his or her own eating behavior in context of negative affect (Scoffier-Mériaux et al., 2010); Turkish version of Emotional Eating Scale";;
Intrapersonal factor related to DEAB;Emotions;Self-regulatory eating attitude in sport;Self-regulation in context of social interaction;;;;;;;;;;Refers to the individual's capacity to control his or her own eating behavior in context of social interaction (Scoffier-Mériaux et al., 2010);;
Intrapersonal factor related to DEAB;Locus of control;;;;;;;;;;;;"""Refers to the way individuals explain the causes of events in their lives, attributing them either to internal factors or to external forces. People with a strong internal locus of control believe they can directly influence outcomes through their own actions and behavior. By contrast, those with a strong external locus of control perceive outcomes as being determined largely by forces outside their control, such as luck, chance, or other external circumstances."" (Rotter, 1966)";;
Intrapersonal factor related to DEAB;Locus of control;External locus;;;;;;;;;;;Refers to the belief that outcomes and events are controlled by external forces, such as luck, chance, or the influence of powerful others, rather than by one’s own behavior. (Scoffier et al., 2010).;;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to chance;;;;;;;;;;Related to chance refers to the belief that life events and outcomes are primarily determined by chance, luck, fate, or other unpredictable forces beyond personal control. Individuals with this orientation perceive the world as largely random or uncontrollable, and therefore view outcomes as resulting from chance rather than from their own actions. (Levenson, 1973, 1981).;;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to chance;External locus: luck;;;;;;;;;Reflects the belief that life events are governed by luck or chance (Scoffier et al., 2010).;;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to chance;Fatalism;;;;;;;;;The outcomes determined by the random and uncontrollable nature of external circumstances (Définition Di Corrado et al., 2021);;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to powerful others;;;;;;;;;;External locus of control related to powerful others refers to the belief that life events and outcomes are primarily controlled by influential individuals or authorities, such as people in positions of power or expertise. (Levenson, 1973, 1981).;;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to powerful others;External locus: coach and friends;;;;;;;;;Reflects the tendency to attribute life events to the actions and influence of others, particularly significant social agents such as coaches and peers (Scoffier et al., 2010);;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to powerful others;External locus: family;;;;;;;;;Reflects the tendency to attribute life events to the actions and influence of others, particularly significant social agents such as family (Scoffier et al., 2010);;
Intrapersonal factor related to DEAB;Locus of control;External locus;External locus related to powerful others;Hetero dependence;;;;;;;;;Reflects the tendency to attribute life events to the actions and influence of the social environement (Di Corrado, 2021);;
Intrapersonal factor related to DEAB;Locus of control;Internal locus of control;;;;;;;;1;;1;Reflects the belief that one is responsible for and able to influence life outcomes (Scoffier et al., 2010);The Mini Locus of Control Scale (MLCS);Multidimensional Health Locus of Control Scale (MHLCS)
Intrapersonal factor related to DEAB;Motivation;;;;;;;;;;;;"""The impetus that gives purpose or direction to behavior and operates in humans at a conscious or unconscious level"" (American Psychological Association)";;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;;;;;;;;;;;"""Defined as the purpose of competence-relevant behavior. In this respect they connect one of the basic human needs, i.e., competence, to one of society's core values, i.e., achievement"" (Butera et al., 2024)";;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Mastery goal;;;;;;;;;;"""Corresponds to the desire to understand a task, acquire new knowledge, and develop abilities"" (Darnon et al., 2007)";;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Mastery goal;Mastery approach goal;;;;;;;;;"Defined competence in reference to Individuals themselves or absolute standards and attribute positive or negative valence to it"" (Scoffier-Mériaux et al., 2013)";;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Mastery goal;Mastery avoidance goal;;;;;;;;;Defines competence in reference to Individuals themsleves and attribute positive or negative valence to it (Scoffier-Mériaux et al., 2013);;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Mastery goal;Task orientation;;;;;;;;;"""Assessing the purposes of gaining skill or knowledge and performing at one's best""(Gomes et al., 2011)";;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Performance goal;;;;;;;;;;"""Refers to the desire to show competencies by trying to obtain positive judgments"" (Darnon et al., 2007)";;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Performance goal;Performance approach goal;;;;;;;;;"""Refers to individuals that define competence normatively and attribute positive valence to it"" (Scoffier-Mériaux et al., 2013)";;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Performance goal;Performance avoidance goal;;;;;;;;;"""Refers to individuals that define competence normatively and attribute negative valence to it"" (Scoffier-Mériaux et al., 2013)";;
Intrapersonal factor related to DEAB;Motivation;Achievement goals;Performance goal;Ego orientation;;;;;;;;;"""Assessing the purpose of demonstrating superior ability to others, being achievement construed in norm referenced terms"" (Silva et al., 2011)";;
Intrapersonal factor related to DEAB;Motivation;Basic psychological needs;;;;;;;;;;;"Refers to essential psychological requirements for well-being, healthy functioning, and personal growth. According to Basic Psychological Needs Theory, these needs include autonomy, relatedness, and competence, whose satisfaction supports optimal development while their frustration contributes to ill-being. (Ryan, 1995; Deci & Ryan, 2000; Vansteenkiste & Ryan, 2013).";;
